Part#,Title,Ordered,Supplied,Buy Cost (Item),Buy Cost (Total)
GT857L,Aenean,500,500,$15.93,"$7,962.81"
WH537J,eu,139,139,$26.61,"$3,698.26"
ZB747K,Aenean,428,428,$5.78,"$2,473.12"
IG448R,penatibus,376,376,$12.68,"$4,767.11"
FO058F,Sed,124,124,$22.66,"$2,810.28"
AB999K,turpis.,242,242,$14.87,"$3,598.71"
IG462H,natoque,218,218,$30.22,"$6,587.75"
JG159U,ipsum,211,211,$7.55,"$1,593.13"
RG456L,et,100,100,$13.80,"$1,380.37"
NI148L,mauris,339,339,$5.43,"$1,841.02"
LZ433C,pellentesque,499,501,$3.01,"$1,505.53"
BO026H,dictum.,90,90,$22.79,"$2,051.12"
WL664E,a,340,340,$28.38,"$9,649.25"
CM837B,eget,141,141,$57.70,"$8,136.02"
ZA874H,consequat,225,225,$6.39,"$1,438.06"
NM356G,diam.,498,498,$10.63,"$5,294.62"
QR137X,risus.,229,229,$19.59,"$4,485.21"
PJ030T,Etiam,492,492,$13.00,"$6,396.67"
SN368J,molestie.,139,139,$14.32,"$1,990.93"
YB165B,blandit,190,230,$15.81,"$3,635.63"
ZW567Q,blandit,98,98,$28.63,"$2,805.32"
QZ037Q,Suspendisse,295,295,$3.76,"$1,110.01"
QR462J,purus,461,461,$21.81,"$10,054.27"
HB106M,risus.,460,460,$12.55,"$5,770.88"
HZ210X,nulla.,295,285,$12.62,"$3,595.40"
PY093D,diam,359,359,$8.70,"$3,123.62"
TC861H,malesuada,481,481,$3.04,"$1,464.09"
WI840Z,urna.,306,306,$30.57,"$9,355.26"
LY995W,pede.,241,241,$37.18,"$8,960.94"
BQ893H,Duis,443,443,$15.67,"$6,940.60"
AW177L,libero,392,392,$2.64,"$1,034.99"
WH300J,a,234,234,$10.01,"$2,342.74"
TI096S,Cras,160,160,$61.24,"$9,798.27"
UD718B,elit,492,492,$13.00,"$6,396.71"
RD348H,Curabitur,26,26,$167.16,"$4,346.22"
DU011U,blandit.,309,309,$5.60,"$1,730.64"
LO806J,turpis,223,223,$8.11,"$1,809.48"
XY929U,elit,185,185,$31.94,"$5,908.02"
MM528Q,penatibus,40,40,$104.35,"$4,174.18"
UV190C,Donec,207,207,$28.55,"$5,908.89"
VR812V,purus.,477,477,$14.86,"$7,088.51"
RU894L,turpis,46,46,$163.31,"$7,512.39"
GY096W,ligula,319,319,$29.82,"$9,513.22"
TB632X,ipsum,454,454,$5.26,"$2,387.98"
CJ079H,nec,88,88,$66.58,"$5,858.67"
TD494A,sit,366,366,$6.53,"$2,390.85"
GQ258W,penatibus,353,353,$22.85,"$8,064.99"
MB572O,est.,467,467,$8.07,"$3,770.20"
MM826X,volutpat,127,127,$49.37,"$6,269.77"
MZ736X,nec,15,15,$423.36,"$6,350.35"
WI232I,at,137,137,$72.12,"$9,880.59"
BJ185Q,et,259,259,$4.10,"$1,062.37"
FZ067Y,gravida.,176,176,$50.49,"$8,886.96"
UA658K,nulla,466,466,$10.06,"$4,687.72"
JN270L,et,419,419,$21.89,"$9,172.07"
TV250I,in,146,146,$21.84,"$3,187.92"
QC443U,at,174,174,$37.05,"$6,446.84"
UL331B,pede.,107,107,$52.92,"$5,662.79"
BV535Y,Donec,254,254,$17.10,"$4,343.21"
QR951C,mauris,287,287,$10.51,"$3,017.42"
GE765O,turpis,439,439,$22.59,"$9,914.98"
QG348H,in,89,89,$69.62,"$6,196.39"
ZN433E,sem,244,244,$34.81,"$8,492.99"
MW245X,quis,500,500,$16.01,"$8,002.80"
MI580F,Donec,120,120,$82.91,"$9,949.62"
EY458E,erat,155,155,$53.81,"$8,340.41"
ET250H,adipiscing,433,433,$20.75,"$8,984.44"
VJ748J,"montes,",11,11,$304.62,"$3,350.87"
QJ781K,purus,254,254,$3.95,"$1,002.97"
YQ011Z,"vulputate,",25,25,$295.68,"$7,391.93"
TO686J,fringilla,425,425,$19.35,"$8,224.67"
HM374P,pharetra.,407,407,$17.90,"$7,287.23"
VC221C,"mauris,",385,385,$11.58,"$4,459.21"
AJ350D,justo,131,131,$60.01,"$7,860.70"
ZV858Z,ligula.,164,164,$59.09,"$9,691.05"
JA472K,eu,119,119,$70.34,"$8,370.07"
AC420Y,vel,15,15,$197.98,"$2,969.70"
DX273F,arcu.,22,22,$319.35,"$7,025.71"
CH239F,dolor,11,11,$816.57,"$8,982.26"
MQ619F,"vel,",439,439,$20.23,"$8,879.44"
OV839A,egestas,321,321,$11.54,"$3,703.75"
LW985P,primis,26,26,$361.47,"$9,398.15"
PL570X,magna,210,210,$30.85,"$6,478.42"
WG332E,Aliquam,406,406,$14.46,"$5,872.76"
ZA905E,ipsum.,77,77,$65.22,"$5,021.89"
MQ266J,Quisque,472,472,$20.98,"$9,901.13"
GO714P,Duis,218,218,$22.12,"$4,822.13"
FC931S,neque,149,149,$64.43,"$9,599.61"
NY200N,ac,68,68,$104.65,"$7,116.42"
CB945Y,"at,",475,475,$17.14,"$8,142.51"
QT144B,ligula.,481,481,$2.12,"$1,017.46"
UP800O,magna,354,354,$5.52,"$1,954.74"
YJ155X,dolor,492,492,$2.17,"$1,065.49"
ZS284K,magna,253,253,$24.17,"$6,114.48"
PK778X,auctor.,480,480,$11.76,"$5,645.13"
IB713Y,mauris.,188,188,$30.03,"$5,645.14"
TE154Y,"rutrum,",440,440,$10.73,"$4,720.06"
FF143D,nec,374,374,$22.60,"$8,451.49"
GH534F,eu,138,138,$48.63,"$6,710.83"
TI283P,arcu.,202,202,$29.68,"$5,994.54"
