LandTex,Part Code:,Part Name:,Quantity:,Price:
,GT857L,Aenean,500,"$7,762.81"
,WH537J,eu,139,"$3,698.26"
,ZB747K,Aenean,432,"$2,473.12"
,IG448R,penatibus,376,"$4,767.11"
,FO058F,Sed,124,"$2,810.28"
,AB999K,turpis.,242,"$3,598.71"
,IG462H,natoque,218,"$6,987.75"
,JG159U,ipsum,211,"$1,493.13"
,RG456L,et,100,"$1,380.37"
,NI148L,mauris,339,"$1,841.02"
,LZ433C,pellentesque,499,"$1,505.53"
,BO026H,dictum.,90,"$2,051.12"
,WL664E,a,340,"$9,649.25"
,CM837B,eget,141,"$8,136.02"
,ZA874H,consequat,225,"$1,438.06"
,NM356G,diam.,498,"$5,294.62"
,QR137X,risus.,229,"$4,485.21"
,PJ030T,Etiam,492,"$6,376.67"
,SN368J,molestie.,139,"$1,990.93"
,YB165B,blandit,190,"$3,135.63"
,ZW567Q,blandit,98,"$2,805.32"
,QZ037Q,Suspendisse,295,"$1,110.01"
,QR462J,purus,461,"$8,054.27"
,HB106M,risus.,460,"$5,770.88"
,HZ210X,nulla.,295,"$3,595.40"
,PY093D,diam,359,"$3,123.62"
,TC861H,malesuada,481,"$1,464.09"
,WI840Z,urna.,306,"$9,355.26"
,LY995W,pede.,241,"$8,960.94"
,BQ893H,Duis,443,"$6,940.60"
,AW177L,libero,392,"$1,034.99"
,WH300J,a,234,"$2,342.74"
,TI096S,Cras,160,"$9,798.27"
,UD718B,elit,492,"$6,396.71"
,RD348H,Curabitur,26,"$4,346.22"
,DU011U,blandit.,309,"$1,730.64"
,LO806J,turpis,223,"$1,809.48"
,XY929U,elit,185,"$5,908.02"
,MM528Q,penatibus,40,"$4,174.18"
,UV190C,Donec,207,"$5,908.89"
,VR812V,purus.,477,"$7,088.51"
,RU894L,turpis,46,"$7,512.39"
,GY096W,ligula,319,"$9,513.22"
,TB632X,ipsum,454,"$2,387.98"
,CJ079H,nec,88,"$5,858.67"
,TD494A,sit,366,"$2,390.85"
,GQ258W,penatibus,353,"$8,064.99"
,MB572O,est.,467,"$3,770.20"
,MM826X,volutpat,127,"$6,269.77"
,MZ736X,nec,15,"$6,350.35"
,WI232I,at,137,"$9,880.59"
,BJ185Q,et,259,"$1,062.37"
,FZ067Y,gravida.,176,"$8,886.96"
,UA658K,nulla,466,"$4,687.72"
,JN270L,et,419,"$9,172.07"
,TV250I,in,146,"$3,187.92"
,QC443U,at,174,"$6,446.84"
,UL331B,pede.,107,"$5,662.79"
,BV535Y,Donec,254,"$4,343.21"
,QR951C,mauris,287,"$3,017.42"
,GE765O,turpis,439,"$9,914.98"
,QG348H,in,89,"$6,196.39"
,ZN433E,sem,244,"$8,492.99"
,MW245X,quis,500,"$8,002.80"
,MI580F,Donec,120,"$9,949.62"
,EY458E,erat,155,"$8,340.41"
,ET250H,adipiscing,433,"$8,984.44"
,VJ748J,"montes,",11,"$3,350.87"
,QJ781K,purus,254,"$1,002.97"
,YQ011Z,"vulputate,",25,"$7,391.93"
,TO686J,fringilla,425,"$8,224.67"
,HM374P,pharetra.,407,"$7,287.23"
,VC221C,"mauris,",385,"$4,459.21"
,AJ350D,justo,131,"$7,860.70"
,ZV858Z,ligula.,164,"$9,691.05"
,JA472K,eu,119,"$8,370.07"
,AC420Y,vel,15,"$2,969.70"
,DX273F,arcu.,22,"$7,025.71"
,CH239F,dolor,11,"$8,982.26"
,MQ619F,"vel,",439,"$8,879.44"
,OV839A,egestas,321,"$3,703.75"
,LW985P,primis,26,"$9,398.15"
,PL570X,magna,210,"$6,478.42"
,WG332E,Aliquam,406,"$5,872.76"
,ZA905E,ipsum.,77,"$5,021.89"
,MQ266J,Quisque,472,"$9,901.13"
,GO714P,Duis,218,"$4,822.13"
,FC931S,neque,149,"$9,599.61"
,NY200N,ac,68,"$7,116.42"
,CB945Y,"at,",475,"$8,142.51"
,QT144B,ligula.,481,"$1,017.46"
,UP800O,magna,354,"$1,954.74"
,YJ155X,dolor,492,"$1,065.49"
,ZS284K,magna,253,"$6,114.48"
,PK778X,auctor.,480,"$5,645.13"
,IB713Y,mauris.,188,"$5,645.14"
,TE154Y,"rutrum,",440,"$4,720.06"
,FF143D,nec,374,"$8,451.49"
,GH534F,eu,138,"$6,710.83"
,TI283P,arcu.,202,"$5,994.54"
