Part#,Title,Ordered,Buy Cost (Item),Buy Cost (Total)
SO096N,Aenean,500,$15.53,"$7,762.81"
FV763V,eu,139,$26.61,"$3,698.26"
BE038Q,Aenean,428,$5.78,"$2,473.12"
FJ380Q,penatibus,376,$12.68,"$4,767.11"
VJ922X,Sed,124,$22.66,"$2,810.28"
QL613V,turpis.,242,$14.87,"$3,598.71"
LQ054J,natoque,218,$30.22,"$6,587.75"
BB715G,ipsum,211,$7.08,"$1,493.13"
TT490P,et,100,$13.80,"$1,380.37"
JF787E,mauris,339,$5.43,"$1,841.02"
TE754R,pellentesque,499,$3.02,"$1,505.53"
DS741E,dictum.,90,$22.79,"$2,051.12"
ZY301B,a,340,$28.38,"$9,649.25"
HO725S,eget,141,$57.70,"$8,136.02"
PB356H,consequat,225,$6.39,"$1,438.06"
XE887C,diam.,498,$10.63,"$5,294.62"
LU600V,risus.,229,$19.59,"$4,485.21"
AT455E,Etiam,492,$12.96,"$6,376.67"
AB960Z,molestie.,139,$14.32,"$1,990.93"
JE202M,blandit,190,$16.50,"$3,135.63"
SB554T,blandit,98,$28.63,"$2,805.32"
UI149B,Suspendisse,295,$3.76,"$1,110.01"
LS430Z,purus,461,$17.47,"$8,054.27"
XH313J,risus.,460,$12.55,"$5,770.88"
HR571F,nulla.,295,$12.19,"$3,595.40"
GD327U,diam,359,$8.70,"$3,123.62"
LW543S,malesuada,481,$3.04,"$1,464.09"
OF615B,urna.,306,$30.57,"$9,355.26"
QI867T,pede.,241,$37.18,"$8,960.94"
BI487V,Duis,443,$15.67,"$6,940.60"
HA724J,libero,392,$2.64,"$1,034.99"
TK191I,a,234,$10.01,"$2,342.74"
WX957F,Cras,160,$61.24,"$9,798.27"
UN156E,elit,492,$13.00,"$6,396.71"
HB447E,Curabitur,26,$167.16,"$4,346.22"
AT322J,blandit.,309,$5.60,"$1,730.64"
AR203E,turpis,223,$8.11,"$1,809.48"
DF299N,elit,185,$31.94,"$5,908.02"
VS160S,penatibus,40,$104.35,"$4,174.18"
OB174O,Donec,207,$28.55,"$5,908.89"
YC604O,purus.,477,$14.86,"$7,088.51"
RN883X,turpis,46,$163.31,"$7,512.39"
CN389J,ligula,319,$29.82,"$9,513.22"
JQ054G,ipsum,454,$5.26,"$2,387.98"
QD243W,nec,88,$66.58,"$5,858.67"
MI492I,sit,366,$6.53,"$2,390.85"
UN582B,penatibus,353,$22.85,"$8,064.99"
QZ942W,est.,467,$8.07,"$3,770.20"
UV338V,volutpat,127,$49.37,"$6,269.77"
IU026Z,nec,15,$423.36,"$6,350.35"
OU261Z,at,137,$72.12,"$9,880.59"
CY691C,et,259,$4.10,"$1,062.37"
PI244T,gravida.,176,$50.49,"$8,886.96"
AS200B,nulla,466,$10.06,"$4,687.72"
JC533V,et,419,$21.89,"$9,172.07"
FW874V,in,146,$21.84,"$3,187.92"
OF893C,at,174,$37.05,"$6,446.84"
VM574H,pede.,107,$52.92,"$5,662.79"
UH147B,Donec,254,$17.10,"$4,343.21"
UI934R,mauris,287,$10.51,"$3,017.42"
QN606C,turpis,439,$22.59,"$9,914.98"
FS731S,in,89,$69.62,"$6,196.39"
PU092U,sem,244,$34.81,"$8,492.99"
CK754S,quis,500,$16.01,"$8,002.80"
MW320P,Donec,120,$82.91,"$9,949.62"
ZU471L,erat,155,$53.81,"$8,340.41"
BW394C,adipiscing,433,$20.75,"$8,984.44"
XM716L,"montes,",11,$304.62,"$3,350.87"
TF321E,purus,254,$3.95,"$1,002.97"
DB525M,"vulputate,",25,$295.68,"$7,391.93"
MR196W,fringilla,425,$19.35,"$8,224.67"
US408B,pharetra.,407,$17.90,"$7,287.23"
RI039J,"mauris,",385,$11.58,"$4,459.21"
UV089E,justo,131,$60.01,"$7,860.70"
MS871T,ligula.,164,$59.09,"$9,691.05"
NF092I,eu,119,$70.34,"$8,370.07"
VT658F,vel,15,$197.98,"$2,969.70"
IB828D,arcu.,22,$319.35,"$7,025.71"
AA866P,dolor,11,$816.57,"$8,982.26"
ZC149V,"vel,",439,$20.23,"$8,879.44"
UV266D,egestas,321,$11.54,"$3,703.75"
CU742K,primis,26,$361.47,"$9,398.15"
OX873P,magna,210,$30.85,"$6,478.42"
FL673R,Aliquam,406,$14.46,"$5,872.76"
JX686I,ipsum.,77,$65.22,"$5,021.89"
TH584T,Quisque,472,$20.98,"$9,901.13"
VX822H,Duis,218,$22.12,"$4,822.13"
IN168H,neque,149,$64.43,"$9,599.61"
PI382X,ac,68,$104.65,"$7,116.42"
FM012B,"at,",475,$17.14,"$8,142.51"
GM178D,ligula.,481,$2.12,"$1,017.46"
DC667M,magna,354,$5.52,"$1,954.74"
KJ841O,dolor,492,$2.17,"$1,065.49"
BB538J,magna,253,$24.17,"$6,114.48"
RJ821T,auctor.,480,$11.76,"$5,645.13"
HC425Q,mauris.,188,$30.03,"$5,645.14"
HF558P,"rutrum,",440,$10.73,"$4,720.06"
YP623T,nec,374,$22.60,"$8,451.49"
IX313W,eu,138,$48.63,"$6,710.83"
KG543N,arcu.,202,$29.68,"$5,994.54"
