AirTex,Part Code:,Part Name:,Quantity:,Price:
,SO096N,Aenean,500,$7762.81
,FV763V,eu,139,$3698.26
,BE038Q,Aenean,428,$2473.12
,FJ380Q,penatibus,376,$4767.11
,VJ922X,Sed,124,$2810.28
,QL613V,turpis.,242,$3598.71
,LQ054J,natoque,218,$6587.75
,BB715G,ipsum,211,$1493.13
,TT490P,et,100,$1380.37
,JF787E,mauris,339,$1841.02
,TE754R,pellentesque,499,$1505.53
,DS741E,dictum.,90,$2051.12
,ZY301B,a,340,$9649.25
,HO725S,eget,141,$8136.02
,PB356H,consequat,225,$1438.06
,XE887C,diam.,498,$5294.62
,LU600V,risus.,229,$4485.21
,AT455E,Etiam,492,$6376.67
,AB960Z,molestie.,139,$1990.93
,JE202M,blandit,190,$3135.63
,SB554T,blandit,98,$2805.32
,UI149B,Suspendisse,295,$1110.01
,LS430Z,purus,461,$8054.27
,XH313J,risus.,460,$5770.88
,HR571F,nulla.,295,$3595.40
,GD327U,diam,359,$3123.62
,LW543S,malesuada,481,$1464.09
,OF615B,urna.,306,$9355.26
,QI867T,pede.,241,$8960.94
,BI487V,Duis,443,$6940.60
,HA724J,libero,392,$1034.99
,TK191I,a,234,$2342.74
,WX957F,Cras,160,$9798.27
,UN156E,elit,492,$6396.71
,HB447E,Curabitur,26,$4346.22
,AT322J,blandit.,309,$1730.64
,AR203E,turpis,223,$1809.48
,DF299N,elit,185,$5908.02
,VS160S,penatibus,40,$4174.18
,OB174O,Donec,207,$5908.89
,YC604O,purus.,477,$7088.51
,RN883X,turpis,46,$7512.39
,CN389J,ligula,319,$9513.22
,JQ054G,ipsum,454,$2387.98
,QD243W,nec,88,$5858.67
,MI492I,sit,366,$2390.85
,UN582B,penatibus,353,$8064.99
,QZ942W,est.,467,$3770.20
,UV338V,volutpat,127,$6269.77
,IU026Z,nec,15,$6350.35
,OU261Z,at,137,$9880.59
,CY691C,et,259,$1062.37
,PI244T,gravida.,176,$8886.96
,AS200B,nulla,466,$4687.72
,JC533V,et,419,$9172.07
,FW874V,in,146,$3187.92
,OF893C,at,174,$6446.84
,VM574H,pede.,107,$5662.79
,UH147B,Donec,254,$4343.21
,UI934R,mauris,287,$3017.42
,QN606C,turpis,439,$9914.98
,FS731S,in,89,$6196.39
,PU092U,sem,244,$8492.99
,CK754S,quis,500,$8002.80
,MW320P,Donec,120,$9949.62
,ZU471L,erat,155,$8340.41
,BW394C,adipiscing,433,$8984.44
,XM716L,"montes,",11,$3350.87
,TF321E,purus,254,$1002.97
,DB525M,"vulputate,",25,$7391.93
,MR196W,fringilla,425,$8224.67
,US408B,pharetra.,407,$7287.23
,RI039J,"mauris,",385,$4459.21
,UV089E,justo,131,$7860.70
,MS871T,ligula.,164,$9691.05
,NF092I,eu,119,$8370.07
,VT658F,vel,15,$2969.70
,IB828D,arcu.,22,$7025.71
,AA866P,dolor,11,$8982.26
,ZC149V,"vel,",439,$8879.44
,UV266D,egestas,321,$3703.75
,CU742K,primis,26,$9398.15
,OX873P,magna,210,$6478.42
,FL673R,Aliquam,406,$5872.76
,JX686I,ipsum.,77,$5021.89
,TH584T,Quisque,472,$9901.13
,VX822H,Duis,218,$4822.13
,IN168H,neque,149,$9599.61
,PI382X,ac,68,$7116.42
,FM012B,"at,",475,$8142.51
,GM178D,ligula.,481,$1017.46
,DC667M,magna,354,$1954.74
,KJ841O,dolor,492,$1065.49
,BB538J,magna,253,$6114.48
,RJ821T,auctor.,480,$5645.13
,HC425Q,mauris.,188,$5645.14
,HF558P,"rutrum,",440,$4720.06
,YP623T,nec,374,$8451.49
,IX313W,eu,138,$6710.83
,KG543N,arcu.,202,$5994.54
