Supplier:,AirTex,,
Part Code:,Part Name:,Quantity:,Price:
SO096N,Aenean,500,"$7,762.81"
FV763V,eu,139,"$3,698.26"
BE038Q,Aenean,428,"$2,473.12"
FJ380Q,penatibus,376,"$4,767.11"
VJ922X,Sed,124,"$2,810.28"
QL613V,turpis.,242,"$3,598.71"
LQ054J,natoque,218,"$6,587.75"
BB715G,ipsum,211,"$1,493.13"
TT490P,et,100,"$1,380.37"
JF787E,mauris,339,"$1,841.02"
TE754R,pellentesque,499,"$1,505.53"
DS741E,dictum.,90,"$2,051.12"
ZY301B,a,340,"$9,649.25"
HO725S,eget,141,"$8,136.02"
PB356H,consequat,225,"$1,438.06"
XE887C,diam.,498,"$5,294.62"
LU600V,risus.,229,"$4,485.21"
AT455E,Etiam,492,"$6,376.67"
AB960Z,molestie.,139,"$1,990.93"
JE202M,blandit,190,"$3,135.63"
SB554T,blandit,98,"$2,805.32"
UI149B,Suspendisse,295,"$1,110.01"
LS430Z,purus,461,"$8,054.27"
XH313J,risus.,460,"$5,770.88"
HR571F,nulla.,295,"$3,595.40"
GD327U,diam,359,"$3,123.62"
LW543S,malesuada,481,"$1,464.09"
OF615B,urna.,306,"$9,355.26"
QI867T,pede.,241,"$8,960.94"
BI487V,Duis,443,"$6,940.60"
HA724J,libero,392,"$1,034.99"
TK191I,a,234,"$2,342.74"
WX957F,Cras,160,"$9,798.27"
UN156E,elit,492,"$6,396.71"
HB447E,Curabitur,26,"$4,346.22"
AT322J,blandit.,309,"$1,730.64"
AR203E,turpis,223,"$1,809.48"
DF299N,elit,185,"$5,908.02"
VS160S,penatibus,40,"$4,174.18"
OB174O,Donec,207,"$5,908.89"
YC604O,purus.,477,"$7,088.51"
RN883X,turpis,46,"$7,512.39"
CN389J,ligula,319,"$9,513.22"
JQ054G,ipsum,454,"$2,387.98"
QD243W,nec,88,"$5,858.67"
MI492I,sit,366,"$2,390.85"
UN582B,penatibus,353,"$8,064.99"
QZ942W,est.,467,"$3,770.20"
UV338V,volutpat,127,"$6,269.77"
IU026Z,nec,15,"$6,350.35"
OU261Z,at,137,"$9,880.59"
CY691C,et,259,"$1,062.37"
PI244T,gravida.,176,"$8,886.96"
AS200B,nulla,466,"$4,687.72"
JC533V,et,419,"$9,172.07"
FW874V,in,146,"$3,187.92"
OF893C,at,174,"$6,446.84"
VM574H,pede.,107,"$5,662.79"
UH147B,Donec,254,"$4,343.21"
UI934R,mauris,287,"$3,017.42"
QN606C,turpis,439,"$9,914.98"
FS731S,in,89,"$6,196.39"
PU092U,sem,244,"$8,492.99"
CK754S,quis,500,"$8,002.80"
MW320P,Donec,120,"$9,949.62"
ZU471L,erat,155,"$8,340.41"
BW394C,adipiscing,433,"$8,984.44"
XM716L,"montes,",11,"$3,350.87"
TF321E,purus,254,"$1,002.97"
DB525M,"vulputate,",25,"$7,391.93"
MR196W,fringilla,425,"$8,224.67"
US408B,pharetra.,407,"$7,287.23"
RI039J,"mauris,",385,"$4,459.21"
UV089E,justo,131,"$7,860.70"
MS871T,ligula.,164,"$9,691.05"
NF092I,eu,119,"$8,370.07"
VT658F,vel,15,"$2,969.70"
IB828D,arcu.,22,"$7,025.71"
AA866P,dolor,11,"$8,982.26"
ZC149V,"vel,",439,"$8,879.44"
UV266D,egestas,321,"$3,703.75"
CU742K,primis,26,"$9,398.15"
OX873P,magna,210,"$6,478.42"
FL673R,Aliquam,406,"$5,872.76"
JX686I,ipsum.,77,"$5,021.89"
TH584T,Quisque,472,"$9,901.13"
VX822H,Duis,218,"$4,822.13"
IN168H,neque,149,"$9,599.61"
PI382X,ac,68,"$7,116.42"
FM012B,"at,",475,"$8,142.51"
GM178D,ligula.,481,"$1,017.46"
DC667M,magna,354,"$1,954.74"
KJ841O,dolor,492,"$1,065.49"
BB538J,magna,253,"$6,114.48"
RJ821T,auctor.,480,"$5,645.13"
HC425Q,mauris.,188,"$5,645.14"
HF558P,"rutrum,",440,"$4,720.06"
YP623T,nec,374,"$8,451.49"
IX313W,eu,138,"$6,710.83"
KG543N,arcu.,202,"$5,994.54"
